Trade Date,Sep22
2021-12-27,26.0
2021-12-28,25.0
2021-12-29,25.95
2021-12-30,26.1
2021-12-31,26.3
2022-01-03,26.1
2022-01-04,26.05
2022-01-05,26.7
2022-01-06,26.8
2022-01-07,26.5
2022-01-10,26.71
2022-01-11,26.1
2022-01-12,25.75
2022-01-13,26.1
2022-01-14,26.25
2022-01-18,26.4
2022-01-19,26.4
2022-01-20,26.7
2022-01-21,27.26
2022-01-24,28.65
2022-01-25,27.85
2022-01-26,27.3
2022-01-27,27.7
2022-01-28,27.35
2022-01-31,26.8
2022-02-01,26.2
2022-02-02,25.75
2022-02-03,26.55
2022-02-04,26.6
2022-02-07,26.45
2022-02-08,26.2
2022-02-09,25.85
2022-02-10,26.3
2022-02-11,27.1
2022-02-14,27.3
2022-02-15,26.8
2022-02-16,26.25
2022-02-17,26.4
2022-02-18,26.66
2022-02-22,27.05
2022-02-23,27.06
2022-02-24,27.9
2022-02-25,27.1
2022-02-28,27.2
2022-03-01,27.9
2022-03-02,27.81
2022-03-03,27.55
2022-03-04,28.17
2022-03-07,28.8
2022-03-08,29.1
2022-03-09,28.85
2022-03-10,29.09
2022-03-11,28.8
2022-03-14,29.8
2022-03-15,29.71
2022-03-16,28.9
2022-03-17,28.25
2022-03-18,27.98
2022-03-21,27.25
2022-03-22,27.11
2022-03-23,27.0
2022-03-24,26.95
2022-03-25,26.8
2022-03-28,26.9
2022-03-29,26.4
2022-03-30,26.45
2022-03-31,26.66
2022-04-01,26.73
2022-04-04,26.62
2022-04-05,27.0
2022-04-06,27.55
2022-04-07,27.57
2022-04-08,27.25
2022-04-11,27.75
2022-04-12,27.97
2022-04-13,28.0
2022-04-14,27.77
2022-04-18,28.02
2022-04-19,27.88
2022-04-20,27.45
2022-04-21,27.74
2022-04-22,28.9
2022-04-25,29.1
2022-04-26,29.5
2022-04-27,29.47
2022-04-28,29.22
2022-04-29,29.9
2022-05-02,30.5
2022-05-03,29.8
2022-05-04,29.1
2022-05-05,30.27
2022-05-06,30.81
2022-05-09,31.45
2022-05-10,31.55
2022-05-11,31.1
2022-05-12,31.45
2022-05-13,30.7
2022-05-16,30.02
2022-05-17,29.38
2022-05-18,30.92
2022-05-19,31.56
2022-05-20,31.2
2022-05-23,30.1
2022-05-24,30.72
2022-05-25,30.33
2022-05-26,29.44
2022-05-27,29.42
2022-05-31,29.51
2022-06-01,29.15
2022-06-02,28.67
2022-06-03,28.45
2022-06-06,28.35
2022-06-07,28.62
2022-06-08,28.0
2022-06-09,28.45
2022-06-10,29.95
2022-06-13,32.1
2022-06-14,32.02
2022-06-15,31.3
2022-06-16,31.77
2022-06-17,31.47
2022-06-21,31.4
2022-06-22,30.82
2022-06-23,29.92
2022-06-24,29.55
2022-06-27,29.23
2022-06-28,29.3
2022-06-29,29.58
2022-06-30,30.17
2022-07-01,30.1
2022-07-05,30.02
2022-07-06,29.4
2022-07-07,28.95
2022-07-08,28.75
2022-07-11,28.85
2022-07-12,29.1
2022-07-13,29.66
2022-07-14,29.7
2022-07-15,29.11
2022-07-18,28.55
2022-07-19,28.3
2022-07-20,28.2
2022-07-21,27.9
2022-07-22,27.7
2022-07-25,27.42
2022-07-26,27.85
2022-07-27,27.18
2022-07-28,26.77
2022-07-29,25.55
2022-08-01,26.17
2022-08-02,26.73
2022-08-03,26.42
2022-08-04,25.68
2022-08-05,25.81
2022-08-08,25.27
2022-08-09,25.4
2022-08-10,25.15
2022-08-11,24.25
2022-08-12,24.0
2022-08-15,23.95
2022-08-16,23.67
2022-08-17,23.95
2022-08-18,23.65
2022-08-19,24.6
2022-08-22,25.91
2022-08-23,26.1
2022-08-24,25.7
2022-08-25,24.45
2022-08-26,26.31
2022-08-29,27.15
2022-08-30,27.0
2022-08-31,26.48
2022-09-01,27.2
2022-09-02,26.45
2022-09-06,27.0
2022-09-07,27.2
2022-09-08,25.71
2022-09-09,24.33
2022-09-12,24.31
2022-09-13,27.2
2022-09-14,27.11
2022-09-15,26.7
2022-09-16,28.3
2022-09-19,27.3
2022-09-20,27.66
2022-09-21,27.7
