Trade Date,Nov18
2018-02-20,0.0
2018-02-21,17.98
2018-02-22,18.0
2018-02-23,17.74
2018-02-26,17.25
2018-02-27,17.7
2018-02-28,17.85
2018-03-01,18.5
2018-03-02,18.71
2018-03-05,18.35
2018-03-06,18.1
2018-03-07,18.5
2018-03-08,18.1
2018-03-09,17.91
2018-03-12,17.75
2018-03-13,18.0
2018-03-14,18.2
2018-03-15,18.2
2018-03-16,17.87
2018-03-19,18.42
2018-03-20,18.25
2018-03-21,18.2
2018-03-22,18.65
2018-03-23,18.9
2018-03-26,18.87
2018-03-27,19.31
2018-03-28,19.75
2018-03-29,19.55
2018-04-02,19.87
2018-04-03,19.66
2018-04-04,19.82
2018-04-05,19.25
2018-04-06,19.83
2018-04-09,19.6
2018-04-10,19.69
2018-04-11,19.73
2018-04-12,19.64
2018-04-13,19.3
2018-04-16,18.92
2018-04-17,18.7
2018-04-18,18.56
2018-04-19,18.35
2018-04-20,18.35
2018-04-23,18.35
2018-04-24,18.8
2018-04-25,18.6
2018-04-26,18.48
2018-04-27,18.22
2018-04-30,18.13
2018-05-01,18.2
2018-05-02,17.98
2018-05-03,18.4
2018-05-04,18.07
2018-05-07,17.75
2018-05-08,17.83
2018-05-09,17.7
2018-05-10,17.42
2018-05-11,17.0
2018-05-14,16.85
2018-05-15,17.1
2018-05-16,17.12
2018-05-17,16.85
2018-05-18,16.87
2018-05-21,16.75
2018-05-22,16.67
2018-05-23,16.93
2018-05-24,16.76
2018-05-25,16.63
2018-05-29,17.03
2018-05-30,16.98
2018-05-31,17.15
2018-06-01,17.02
2018-06-04,16.7
2018-06-05,16.4
2018-06-06,16.15
2018-06-07,16.17
2018-06-08,16.3
2018-06-11,16.05
2018-06-12,16.05
2018-06-13,16.11
2018-06-14,16.15
2018-06-15,16.07
2018-06-18,16.12
2018-06-19,16.46
2018-06-20,16.15
2018-06-21,16.45
2018-06-22,16.4
2018-06-25,17.22
2018-06-26,16.95
2018-06-27,17.4
2018-06-28,17.66
2018-06-29,17.3
2018-07-02,17.6
2018-07-03,17.36
2018-07-05,17.36
2018-07-06,17.2
2018-07-09,16.6
2018-07-10,16.0
2018-07-11,16.35
2018-07-12,16.05
2018-07-13,15.9
2018-07-16,15.85
2018-07-17,15.88
2018-07-18,15.93
2018-07-19,16.0
2018-07-20,16.15
2018-07-23,16.18
2018-07-24,16.11
2018-07-25,16.07
2018-07-26,16.0
2018-07-27,16.31
2018-07-30,16.36
2018-07-31,16.3
2018-08-01,16.1
2018-08-02,16.47
2018-08-03,15.9
2018-08-06,15.86
2018-08-07,15.55
2018-08-08,15.3
2018-08-09,15.35
2018-08-10,15.75
2018-08-13,16.2
2018-08-14,16.08
2018-08-15,16.6
2018-08-16,15.93
2018-08-17,15.81
2018-08-20,15.46
2018-08-21,15.6
2018-08-22,15.75
2018-08-23,15.55
2018-08-24,15.55
2018-08-27,15.55
2018-08-28,15.7
2018-08-29,15.75
2018-08-30,16.12
2018-08-31,16.16
2018-09-04,16.0
2018-09-05,16.05
2018-09-06,16.32
2018-09-07,16.5
2018-09-10,16.4
2018-09-11,16.18
2018-09-12,15.6
2018-09-13,15.47
2018-09-14,15.18
2018-09-17,15.35
2018-09-18,15.56
2018-09-19,15.25
2018-09-20,15.15
2018-09-21,15.15
2018-09-24,15.3
2018-09-25,15.11
2018-09-26,15.37
2018-09-27,15.3
2018-09-28,15.3
2018-10-01,15.0
2018-10-02,15.05
2018-10-03,14.95
2018-10-04,15.87
2018-10-05,16.27
2018-10-08,16.6
2018-10-09,16.27
2018-10-10,18.55
2018-10-11,20.3
2018-10-12,19.77
2018-10-15,19.01
2018-10-16,18.7
2018-10-17,18.37
2018-10-18,19.25
2018-10-19,19.05
2018-10-22,19.36
2018-10-23,20.83
2018-10-24,21.35
2018-10-25,21.35
2018-10-26,22.65
2018-10-29,22.85
2018-10-30,22.15
2018-10-31,20.95
2018-11-01,20.56
2018-11-02,20.45
2018-11-05,20.01
2018-11-06,19.82
2018-11-07,19.01
2018-11-08,17.3
2018-11-09,18.13
2018-11-12,19.7
2018-11-13,20.4
2018-11-14,20.92
2018-11-15,21.26
2018-11-16,20.47
2018-11-19,20.1
2018-11-20,23.06
2018-11-21,22.5
