Trade Date,Mar16
2015-06-22,17.9
2015-06-23,18.7
2015-06-24,18.6
2015-06-25,18.6
2015-06-26,18.5
2015-06-29,19.25
2015-06-30,19.35
2015-07-01,18.85
2015-07-02,18.95
2015-07-06,19.25
2015-07-07,19.3
2015-07-08,19.3
2015-07-09,19.3
2015-07-10,19.34
2015-07-13,19.1
2015-07-14,18.45
2015-07-15,18.55
2015-07-16,18.3
2015-07-17,18.05
2015-07-20,18.0
2015-07-21,18.05
2015-07-22,18.2
2015-07-23,18.3
2015-07-24,18.35
2015-07-27,18.6
2015-07-28,18.44
2015-07-29,18.11
2015-07-30,18.22
2015-07-31,18.2
2015-08-03,18.3
2015-08-04,18.05
2015-08-05,18.03
2015-08-06,18.32
2015-08-07,18.18
2015-08-10,17.9
2015-08-11,18.25
2015-08-12,18.62
2015-08-13,18.15
2015-08-14,18.05
2015-08-17,17.95
2015-08-18,18.1
2015-08-19,18.29
2015-08-20,18.7
2015-08-21,19.17
2015-08-24,21.55
2015-08-25,21.25
2015-08-26,21.29
2015-08-27,20.88
2015-08-28,21.8
2015-08-31,22.3
2015-09-01,24.31
2015-09-02,23.96
2015-09-03,23.5
2015-09-04,24.1
2015-09-08,23.75
2015-09-09,23.1
2015-09-10,23.55
2015-09-11,23.2
2015-09-14,23.11
2015-09-15,22.65
2015-09-16,21.35
2015-09-17,20.55
2015-09-18,21.42
2015-09-21,21.45
2015-09-22,21.79
2015-09-23,21.75
2015-09-24,21.97
2015-09-25,21.8
2015-09-28,22.65
2015-09-29,22.6
2015-09-30,22.45
2015-10-01,22.45
2015-10-02,22.31
2015-10-05,21.35
2015-10-06,20.8
2015-10-07,20.8
2015-10-08,20.4
2015-10-09,20.22
2015-10-12,19.97
2015-10-13,20.05
2015-10-14,20.49
2015-10-15,20.25
2015-10-16,19.58
2015-10-19,19.31
2015-10-20,19.15
2015-10-21,19.75
2015-10-22,19.75
2015-10-23,18.75
2015-10-26,19.17
2015-10-27,19.28
2015-10-28,19.18
2015-10-29,18.85
2015-10-30,19.0
2015-11-02,19.11
2015-11-03,18.55
2015-11-04,18.9
2015-11-05,18.97
2015-11-06,18.8
2015-11-09,18.91
2015-11-10,18.92
2015-11-11,18.8
2015-11-12,19.8
2015-11-13,20.58
2015-11-16,20.87
2015-11-17,19.8
2015-11-18,19.55
2015-11-19,19.58
2015-11-20,19.45
2015-11-23,19.4
2015-11-24,19.31
2015-11-25,19.35
2015-11-27,19.0
2015-11-30,19.11
2015-12-01,18.75
2015-12-02,18.75
2015-12-03,19.53
2015-12-04,19.22
2015-12-07,19.1
2015-12-08,19.24
2015-12-09,19.75
2015-12-10,19.65
2015-12-11,21.47
2015-12-14,21.85
2015-12-15,20.45
2015-12-16,19.5
2015-12-17,19.75
2015-12-18,20.6
2015-12-21,20.58
2015-12-22,19.78
2015-12-23,19.08
2015-12-24,19.1
2015-12-28,19.39
2015-12-29,18.63
2015-12-30,18.95
2015-12-31,19.12
2016-01-04,20.45
2016-01-05,20.07
2016-01-06,20.44
2016-01-07,21.3
2016-01-08,22.33
2016-01-11,23.28
2016-01-12,22.13
2016-01-13,22.67
2016-01-14,23.05
2016-01-15,24.15
2016-01-19,24.5
2016-01-20,25.82
2016-01-21,24.8
2016-01-22,24.14
2016-01-25,23.25
2016-01-26,23.8
2016-01-27,23.15
2016-01-28,23.18
2016-01-29,22.6
2016-02-01,21.88
2016-02-02,22.69
2016-02-03,23.6
2016-02-04,22.85
2016-02-05,23.65
2016-02-08,25.23
2016-02-09,25.23
2016-02-10,24.8
2016-02-11,26.92
2016-02-12,26.15
2016-02-16,24.9
2016-02-17,24.29
2016-02-18,23.25
2016-02-19,23.5
2016-02-22,22.48
2016-02-23,22.25
2016-02-24,23.48
2016-02-25,22.2
2016-02-26,21.65
2016-02-29,22.2
2016-03-01,22.25
2016-03-02,20.12
2016-03-03,19.52
2016-03-04,18.95
2016-03-07,19.32
2016-03-08,19.75
2016-03-09,19.85
2016-03-10,20.22
2016-03-11,19.02
2016-03-14,18.07
2016-03-15,18.05
2016-03-16,17.05
