Trade Date,Apr14
2013-07-19,0.0
2013-07-22,20.45
2013-07-23,20.55
2013-07-24,20.5
2013-07-25,20.55
2013-07-26,20.42
2013-07-29,20.32
2013-07-30,20.1
2013-07-31,19.95
2013-08-01,19.45
2013-08-02,19.45
2013-08-05,19.2
2013-08-06,19.35
2013-08-07,19.45
2013-08-08,19.25
2013-08-09,19.31
2013-08-12,19.45
2013-08-13,19.45
2013-08-14,19.65
2013-08-15,20.05
2013-08-16,19.95
2013-08-19,20.1
2013-08-20,20.05
2013-08-21,20.1
2013-08-22,19.7
2013-08-23,19.38
2013-08-26,19.72
2013-08-27,20.41
2013-08-28,20.57
2013-08-29,20.62
2013-08-30,20.85
2013-09-03,20.5
2013-09-04,20.34
2013-09-05,20.2
2013-09-06,20.5
2013-09-09,20.1
2013-09-10,19.5
2013-09-11,19.35
2013-09-12,19.41
2013-09-13,19.35
2013-09-16,19.1
2013-09-17,18.95
2013-09-18,19.03
2013-09-19,18.8
2013-09-20,19.15
2013-09-23,19.3
2013-09-24,19.28
2013-09-25,19.35
2013-09-26,19.15
2013-09-27,19.25
2013-09-30,19.55
2013-10-01,19.4
2013-10-02,19.44
2013-10-03,19.75
2013-10-04,19.75
2013-10-07,19.87
2013-10-08,20.5
2013-10-09,20.62
2013-10-10,20.1
2013-10-11,19.45
2013-10-14,19.57
2013-10-15,19.4
2013-10-16,19.08
2013-10-17,18.9
2013-10-18,18.43
2013-10-21,18.25
2013-10-22,18.3
2013-10-23,18.6
2013-10-24,18.48
2013-10-25,18.5
2013-10-28,18.65
2013-10-29,18.68
2013-10-30,18.78
2013-10-31,18.7
2013-11-01,18.85
2013-11-04,18.75
2013-11-05,18.65
2013-11-06,18.65
2013-11-07,18.85
2013-11-08,18.8
2013-11-11,18.55
2013-11-12,18.65
2013-11-13,18.78
2013-11-14,18.8
2013-11-15,18.79
2013-11-18,18.73
2013-11-19,18.75
2013-11-20,18.8
2013-11-21,18.44
2013-11-22,18.08
2013-11-25,17.89
2013-11-26,17.78
2013-11-27,17.7
2013-11-29,17.72
2013-12-02,17.7
2013-12-03,17.85
2013-12-04,17.9
2013-12-05,17.65
2013-12-06,17.5
2013-12-09,17.1
2013-12-10,17.15
2013-12-11,17.6
2013-12-12,17.61
2013-12-13,17.7
2013-12-16,17.75
2013-12-17,17.8
2013-12-18,17.54
2013-12-19,17.1
2013-12-20,17.1
2013-12-23,16.9
2013-12-24,16.6
2013-12-26,16.39
2013-12-27,16.35
2013-12-30,16.5
2013-12-31,16.44
2014-01-02,16.5
2014-01-03,16.51
2014-01-06,16.25
2014-01-07,16.15
2014-01-08,15.95
2014-01-09,16.02
2014-01-10,16.0
2014-01-13,16.32
2014-01-14,16.04
2014-01-15,16.05
2014-01-16,16.0
2014-01-17,16.1
2014-01-21,16.15
2014-01-22,15.99
2014-01-23,15.95
2014-01-24,16.75
2014-01-27,17.15
2014-01-28,16.74
2014-01-29,16.8
2014-01-30,16.95
2014-01-31,17.7
2014-02-03,18.45
2014-02-04,18.46
2014-02-05,19.0
2014-02-06,18.9
2014-02-07,17.46
2014-02-10,16.65
2014-02-11,16.38
2014-02-12,16.2
2014-02-13,16.19
2014-02-14,15.75
2014-02-18,15.6
2014-02-19,16.1
2014-02-20,16.07
2014-02-21,15.6
2014-02-24,15.52
2014-02-25,15.68
2014-02-26,15.85
2014-02-27,15.9
2014-02-28,16.15
2014-03-03,16.92
2014-03-04,16.65
2014-03-05,15.9
2014-03-06,15.8
2014-03-07,16.0
2014-03-10,16.3
2014-03-11,16.2
2014-03-12,16.5
2014-03-13,16.85
2014-03-14,17.35
2014-03-17,17.3
2014-03-18,16.38
2014-03-19,16.45
2014-03-20,16.15
2014-03-21,16.0
2014-03-24,16.4
2014-03-25,16.02
2014-03-26,16.2
2014-03-27,16.2
2014-03-28,15.85
2014-03-31,15.5
2014-04-01,15.1
2014-04-02,14.75
2014-04-03,14.75
2014-04-04,15.2
2014-04-07,15.78
2014-04-08,15.85
2014-04-09,15.2
2014-04-10,16.25
2014-04-11,17.3
2014-04-14,17.27
2014-04-15,17.27
2014-04-16,0.0
