Trade Date,Apr15
2014-07-21,0.05
2014-07-22,17.75
2014-07-23,17.37
2014-07-24,17.4
2014-07-25,17.49
2014-07-28,17.51
2014-07-29,17.4
2014-07-30,17.46
2014-07-31,18.0
2014-08-01,18.45
2014-08-04,18.4
2014-08-05,18.7
2014-08-06,18.81
2014-08-07,19.16
2014-08-08,20.11
2014-08-11,18.93
2014-08-12,18.46
2014-08-13,18.31
2014-08-14,17.95
2014-08-15,18.0
2014-08-18,17.36
2014-08-19,17.26
2014-08-20,17.34
2014-08-21,17.32
2014-08-22,17.4
2014-08-25,17.25
2014-08-26,17.44
2014-08-27,17.6
2014-08-28,17.92
2014-08-29,17.66
2014-09-02,17.61
2014-09-03,17.58
2014-09-04,17.6
2014-09-05,17.59
2014-09-08,17.45
2014-09-09,17.45
2014-09-10,17.55
2014-09-11,17.58
2014-09-12,17.7
2014-09-15,17.82
2014-09-16,17.83
2014-09-17,17.53
2014-09-18,17.47
2014-09-19,17.56
2014-09-22,17.7
2014-09-23,18.01
2014-09-24,18.0
2014-09-25,18.24
2014-09-26,18.2
2014-09-29,18.5
2014-09-30,18.6
2014-10-01,18.97
2014-10-02,19.05
2014-10-03,18.85
2014-10-06,18.4
2014-10-07,19.0
2014-10-08,19.01
2014-10-09,18.8
2014-10-10,19.75
2014-10-13,20.65
2014-10-14,20.95
2014-10-15,21.39
2014-10-16,21.85
2014-10-17,20.6
2014-10-20,20.1
2014-10-21,19.87
2014-10-22,19.65
2014-10-23,19.38
2014-10-24,19.45
2014-10-27,19.21
2014-10-28,18.52
2014-10-29,18.35
2014-10-30,18.43
2014-10-31,18.25
2014-11-03,18.42
2014-11-04,18.69
2014-11-05,18.37
2014-11-06,18.35
2014-11-07,18.02
2014-11-10,17.88
2014-11-11,17.6
2014-11-12,17.56
2014-11-13,18.09
2014-11-14,17.83
2014-11-17,17.81
2014-11-18,17.6
2014-11-19,17.8
2014-11-20,18.03
2014-11-21,17.78
2014-11-24,17.73
2014-11-25,17.85
2014-11-26,17.88
2014-11-28,17.85
2014-12-01,18.22
2014-12-02,18.22
2014-12-03,17.55
2014-12-04,17.74
2014-12-05,17.49
2014-12-08,17.85
2014-12-09,18.28
2014-12-10,18.75
2014-12-11,19.63
2014-12-12,20.15
2014-12-15,20.1
2014-12-16,20.3
2014-12-17,20.35
2014-12-18,18.7
2014-12-19,18.3
2014-12-22,17.97
2014-12-23,17.97
2014-12-24,17.93
2014-12-26,17.9
2014-12-29,17.88
2014-12-30,18.1
2014-12-31,18.91
2015-01-02,19.23
2015-01-05,19.73
2015-01-06,20.2
2015-01-07,19.85
2015-01-08,19.05
2015-01-09,19.1
2015-01-12,19.79
2015-01-13,20.02
2015-01-14,20.38
2015-01-15,20.36
2015-01-16,20.75
2015-01-20,20.61
2015-01-21,20.53
2015-01-22,19.58
2015-01-23,18.99
2015-01-26,19.43
2015-01-27,19.08
2015-01-28,20.31
2015-01-29,20.35
2015-01-30,20.7
2015-02-02,20.84
2015-02-03,20.1
2015-02-04,20.05
2015-02-05,20.22
2015-02-06,20.33
2015-02-09,20.43
2015-02-10,20.22
2015-02-11,19.97
2015-02-12,19.7
2015-02-13,18.93
2015-02-17,18.89
2015-02-18,18.88
2015-02-19,18.87
2015-02-20,18.83
2015-02-23,18.15
2015-02-24,18.07
2015-02-25,17.7
2015-02-26,17.9
2015-02-27,17.63
2015-03-02,17.49
2015-03-03,17.58
2015-03-04,17.83
2015-03-05,17.42
2015-03-06,17.88
2015-03-09,17.79
2015-03-10,18.4
2015-03-11,18.62
2015-03-12,18.53
2015-03-13,18.25
2015-03-16,17.99
2015-03-17,17.8
2015-03-18,17.65
2015-03-19,17.05
2015-03-20,16.7
2015-03-23,16.37
2015-03-24,16.1
2015-03-25,16.73
2015-03-26,17.45
2015-03-27,16.8
2015-03-30,16.4
2015-03-31,16.35
2015-04-01,16.99
2015-04-02,16.31
2015-04-03,16.27
2015-04-06,16.25
2015-04-07,15.4
2015-04-08,15.43
2015-04-09,15.15
2015-04-10,14.15
2015-04-13,14.5
2015-04-14,14.63
2015-04-15,13.75
