Trade Date,Sep15
2014-12-22,18.95
2014-12-23,19.2
2014-12-24,19.25
2014-12-26,19.3
2014-12-29,19.1
2014-12-30,19.45
2014-12-31,20.0
2015-01-02,20.3
2015-01-05,20.8
2015-01-06,20.95
2015-01-07,20.55
2015-01-08,20.25
2015-01-09,20.05
2015-01-12,20.46
2015-01-13,20.65
2015-01-14,20.75
2015-01-15,20.76
2015-01-16,21.0
2015-01-20,20.9
2015-01-21,20.85
2015-01-22,20.3
2015-01-23,19.98
2015-01-26,20.2
2015-01-27,20.05
2015-01-28,21.05
2015-01-29,20.95
2015-01-30,21.06
2015-02-02,21.12
2015-02-03,20.6
2015-02-04,20.65
2015-02-05,20.76
2015-02-06,20.8
2015-02-09,20.88
2015-02-10,20.71
2015-02-11,20.6
2015-02-12,20.35
2015-02-13,20.04
2015-02-17,20.05
2015-02-18,20.07
2015-02-19,20.05
2015-02-20,20.15
2015-02-23,19.85
2015-02-24,19.75
2015-02-25,19.35
2015-02-26,19.39
2015-02-27,19.15
2015-03-02,19.05
2015-03-03,18.99
2015-03-04,19.05
2015-03-05,18.81
2015-03-06,19.01
2015-03-09,18.88
2015-03-10,19.4
2015-03-11,19.6
2015-03-12,19.55
2015-03-13,19.49
2015-03-16,19.3
2015-03-17,19.2
2015-03-18,19.25
2015-03-19,19.07
2015-03-20,19.04
2015-03-23,18.97
2015-03-24,18.95
2015-03-25,19.34
2015-03-26,19.67
2015-03-27,19.21
2015-03-30,19.1
2015-03-31,19.24
2015-04-01,19.55
2015-04-02,19.36
2015-04-03,19.55
2015-04-06,19.5
2015-04-07,19.0
2015-04-08,18.89
2015-04-09,19.2
2015-04-10,18.68
2015-04-13,18.4
2015-04-14,18.55
2015-04-15,18.42
2015-04-16,18.52
2015-04-17,18.78
2015-04-20,18.45
2015-04-21,18.35
2015-04-22,18.37
2015-04-23,18.29
2015-04-24,18.1
2015-04-27,18.27
2015-04-28,18.52
2015-04-29,18.25
2015-04-30,18.55
2015-05-01,18.27
2015-05-04,18.03
2015-05-05,18.19
2015-05-06,18.6
2015-05-07,18.54
2015-05-08,18.1
2015-05-11,18.15
2015-05-12,18.45
2015-05-13,18.0
2015-05-14,17.85
2015-05-15,17.8
2015-05-18,17.65
2015-05-19,17.25
2015-05-20,17.2
2015-05-21,17.17
2015-05-22,17.0
2015-05-26,17.31
2015-05-27,17.15
2015-05-28,17.1
2015-05-29,17.23
2015-06-01,17.13
2015-06-02,17.25
2015-06-03,17.18
2015-06-04,17.4
2015-06-05,17.45
2015-06-08,17.5
2015-06-09,17.53
2015-06-10,17.35
2015-06-11,16.87
2015-06-12,16.95
2015-06-15,17.22
2015-06-16,17.36
2015-06-17,17.25
2015-06-18,17.12
2015-06-19,16.95
2015-06-22,16.9
2015-06-23,16.32
2015-06-24,16.4
2015-06-25,16.4
2015-06-26,16.4
2015-06-29,17.8
2015-06-30,18.03
2015-07-01,17.6
2015-07-02,17.5
2015-07-06,18.95
2015-07-07,18.46
2015-07-08,18.35
2015-07-09,18.65
2015-07-10,18.72
2015-07-13,18.18
2015-07-14,16.43
2015-07-15,16.53
2015-07-16,16.1
2015-07-17,15.55
2015-07-20,15.5
2015-07-21,15.48
2015-07-22,15.75
2015-07-23,15.73
2015-07-24,16.03
2015-07-27,16.6
2015-07-28,16.3
2015-07-29,15.5
2015-07-30,15.73
2015-07-31,15.55
2015-08-03,15.63
2015-08-04,15.33
2015-08-05,15.29
2015-08-06,15.75
2015-08-07,15.68
2015-08-10,15.27
2015-08-11,15.7
2015-08-12,16.65
2015-08-13,15.54
2015-08-14,15.39
2015-08-17,15.48
2015-08-18,15.3
2015-08-19,15.9
2015-08-20,17.35
2015-08-21,19.91
2015-08-24,27.5
2015-08-25,25.75
2015-08-26,26.45
2015-08-27,25.45
2015-08-28,26.32
2015-08-31,26.45
2015-09-01,30.83
2015-09-02,30.1
2015-09-03,26.58
2015-09-04,28.8
2015-09-08,28.05
2015-09-09,26.05
2015-09-10,27.35
2015-09-11,25.45
2015-09-14,24.46
2015-09-15,24.2
2015-09-16,23.0
