Trade Date,Feb15
2014-05-27,17.65
2014-05-28,17.7
2014-05-29,17.96
2014-05-30,18.2
2014-06-02,18.22
2014-06-03,18.22
2014-06-04,18.12
2014-06-05,18.0
2014-06-06,17.7
2014-06-09,17.4
2014-06-10,17.51
2014-06-11,17.6
2014-06-12,17.95
2014-06-13,17.95
2014-06-16,17.8
2014-06-17,17.75
2014-06-18,17.72
2014-06-19,17.4
2014-06-20,17.45
2014-06-23,17.51
2014-06-24,17.6
2014-06-25,17.57
2014-06-26,17.48
2014-06-27,17.34
2014-06-30,17.28
2014-07-01,17.1
2014-07-02,16.95
2014-07-03,16.71
2014-07-07,16.87
2014-07-08,17.14
2014-07-09,16.9
2014-07-10,17.0
2014-07-11,16.84
2014-07-14,16.7
2014-07-15,16.59
2014-07-16,16.6
2014-07-17,17.1
2014-07-18,17.05
2014-07-21,16.65
2014-07-22,16.63
2014-07-23,16.7
2014-07-24,16.8
2014-07-25,16.85
2014-07-28,16.85
2014-07-29,16.8
2014-07-30,16.75
2014-07-31,17.35
2014-08-01,17.85
2014-08-04,17.85
2014-08-05,18.06
2014-08-06,18.15
2014-08-07,18.53
2014-08-08,19.13
2014-08-11,18.33
2014-08-12,17.8
2014-08-13,17.65
2014-08-14,17.27
2014-08-15,17.35
2014-08-18,16.86
2014-08-19,16.5
2014-08-20,16.59
2014-08-21,16.6
2014-08-22,16.67
2014-08-25,16.53
2014-08-26,16.71
2014-08-27,16.9
2014-08-28,17.23
2014-08-29,16.92
2014-09-02,16.9
2014-09-03,16.9
2014-09-04,16.9
2014-09-05,16.9
2014-09-08,16.75
2014-09-09,16.72
2014-09-10,16.83
2014-09-11,16.85
2014-09-12,16.95
2014-09-15,17.08
2014-09-16,17.1
2014-09-17,16.8
2014-09-18,16.68
2014-09-19,16.78
2014-09-22,16.93
2014-09-23,17.32
2014-09-24,17.35
2014-09-25,17.59
2014-09-26,17.48
2014-09-29,17.82
2014-09-30,17.93
2014-10-01,18.35
2014-10-02,18.44
2014-10-03,18.25
2014-10-06,17.7
2014-10-07,18.33
2014-10-08,18.4
2014-10-09,18.2
2014-10-10,19.17
2014-10-13,20.3
2014-10-14,20.3
2014-10-15,21.16
2014-10-16,21.62
2014-10-17,20.31
2014-10-20,19.78
2014-10-21,19.36
2014-10-22,19.25
2014-10-23,18.96
2014-10-24,19.01
2014-10-27,18.83
2014-10-28,17.99
2014-10-29,17.78
2014-10-30,17.85
2014-10-31,17.55
2014-11-03,17.75
2014-11-04,18.07
2014-11-05,17.7
2014-11-06,17.7
2014-11-07,17.25
2014-11-10,17.05
2014-11-11,16.74
2014-11-12,16.75
2014-11-13,17.22
2014-11-14,16.98
2014-11-17,16.96
2014-11-18,16.7
2014-11-19,16.92
2014-11-20,17.18
2014-11-21,16.9
2014-11-24,16.85
2014-11-25,16.85
2014-11-26,16.8
2014-11-28,16.8
2014-12-01,17.35
2014-12-02,17.35
2014-12-03,16.57
2014-12-04,16.78
2014-12-05,16.43
2014-12-08,16.9
2014-12-09,17.48
2014-12-10,18.1
2014-12-11,19.25
2014-12-12,19.9
2014-12-15,19.71
2014-12-16,20.15
2014-12-17,20.17
2014-12-18,18.1
2014-12-19,17.78
2014-12-22,17.3
2014-12-23,17.16
2014-12-24,16.95
2014-12-26,16.94
2014-12-29,17.0
2014-12-30,17.25
2014-12-31,18.5
2015-01-02,18.9
2015-01-05,19.44
2015-01-06,20.2
2015-01-07,19.65
2015-01-08,18.82
2015-01-09,18.7
2015-01-12,19.7
2015-01-13,20.25
2015-01-14,20.83
2015-01-15,20.8
2015-01-16,21.35
2015-01-20,20.84
2015-01-21,20.65
2015-01-22,19.35
2015-01-23,18.5
2015-01-26,19.2
2015-01-27,18.75
2015-01-28,20.5
2015-01-29,20.85
2015-01-30,21.7
2015-02-02,21.88
2015-02-03,20.5
2015-02-04,19.8
2015-02-05,20.15
2015-02-06,20.05
2015-02-09,20.17
2015-02-10,19.75
2015-02-11,19.12
2015-02-12,18.77
2015-02-13,17.05
2015-02-17,17.15
2015-02-18,16.25
