Trade Date,Nov16
2016-02-22,22.65
2016-02-23,22.2
2016-02-24,21.55
2016-02-25,20.65
2016-02-26,20.05
2016-02-29,22.0
2016-03-01,23.0
2016-03-02,22.1
2016-03-03,21.85
2016-03-04,21.53
2016-03-07,21.7
2016-03-08,21.85
2016-03-09,21.95
2016-03-10,22.1
2016-03-11,21.63
2016-03-14,21.37
2016-03-15,21.37
2016-03-16,21.52
2016-03-17,21.28
2016-03-18,20.95
2016-03-21,21.04
2016-03-22,20.85
2016-03-23,21.05
2016-03-24,21.4
2016-03-28,21.05
2016-03-29,21.0
2016-03-30,20.35
2016-03-31,20.25
2016-04-01,20.45
2016-04-04,20.1
2016-04-05,20.65
2016-04-06,20.63
2016-04-07,21.04
2016-04-08,20.87
2016-04-11,20.97
2016-04-12,21.24
2016-04-13,20.75
2016-04-14,20.55
2016-04-15,20.5
2016-04-18,20.6
2016-04-19,20.19
2016-04-20,20.2
2016-04-21,20.65
2016-04-22,20.65
2016-04-25,20.7
2016-04-26,20.55
2016-04-27,20.58
2016-04-28,20.65
2016-04-29,21.32
2016-05-02,21.1
2016-05-03,21.1
2016-05-04,21.38
2016-05-05,21.47
2016-05-06,21.5
2016-05-09,21.01
2016-05-10,20.91
2016-05-11,20.87
2016-05-12,20.98
2016-05-13,21.03
2016-05-16,21.05
2016-05-17,21.2
2016-05-18,21.38
2016-05-19,21.67
2016-05-20,21.15
2016-05-23,21.13
2016-05-24,20.86
2016-05-25,20.25
2016-05-26,20.2
2016-05-27,20.06
2016-05-31,20.14
2016-06-01,20.0
2016-06-02,20.0
2016-06-03,20.13
2016-06-06,19.84
2016-06-07,19.75
2016-06-08,19.95
2016-06-09,20.25
2016-06-10,20.95
2016-06-13,22.03
2016-06-14,22.4
2016-06-15,21.99
2016-06-16,22.45
2016-06-17,21.33
2016-06-20,21.15
2016-06-21,20.57
2016-06-22,20.55
2016-06-23,20.32
2016-06-24,23.95
2016-06-27,22.85
2016-06-28,22.6
2016-06-29,20.81
2016-06-30,20.45
2016-07-01,20.42
2016-07-05,20.77
2016-07-06,20.65
2016-07-07,20.45
2016-07-08,20.15
2016-07-11,19.55
2016-07-12,19.5
2016-07-13,19.3
2016-07-14,19.15
2016-07-15,19.3
2016-07-18,19.2
2016-07-19,19.15
2016-07-20,19.05
2016-07-21,19.38
2016-07-22,19.3
2016-07-25,19.4
2016-07-26,19.34
2016-07-27,19.28
2016-07-28,19.15
2016-07-29,18.77
2016-08-01,18.45
2016-08-02,18.93
2016-08-03,18.85
2016-08-04,18.45
2016-08-05,18.3
2016-08-08,18.05
2016-08-09,17.81
2016-08-10,17.84
2016-08-11,17.7
2016-08-12,17.85
2016-08-15,17.65
2016-08-16,17.92
2016-08-17,18.18
2016-08-18,17.87
2016-08-19,17.9
2016-08-22,17.98
2016-08-23,17.95
2016-08-24,18.17
2016-08-25,18.2
2016-08-26,18.32
2016-08-29,18.1
2016-08-30,17.95
2016-08-31,18.09
2016-09-01,18.05
2016-09-02,17.9
2016-09-06,17.6
2016-09-07,17.31
2016-09-08,17.32
2016-09-09,19.0
2016-09-12,19.25
2016-09-13,19.49
2016-09-14,19.35
2016-09-15,19.45
2016-09-16,19.15
2016-09-19,18.44
2016-09-20,18.25
2016-09-21,18.28
2016-09-22,17.42
2016-09-23,17.1
2016-09-26,17.79
2016-09-27,17.63
2016-09-28,17.19
2016-09-29,17.83
2016-09-30,17.6
2016-10-03,17.15
2016-10-04,17.1
2016-10-05,16.83
2016-10-06,16.88
2016-10-07,16.95
2016-10-10,16.7
2016-10-11,17.25
2016-10-12,17.25
2016-10-13,18.05
2016-10-14,17.58
2016-10-17,17.65
2016-10-18,17.15
2016-10-19,16.65
2016-10-20,16.4
2016-10-21,16.13
2016-10-24,15.69
2016-10-25,15.4
2016-10-26,15.75
2016-10-27,16.15
2016-10-28,17.08
2016-10-31,17.35
2016-11-01,18.78
2016-11-02,18.57
2016-11-03,19.85
2016-11-04,19.8
2016-11-07,17.5
2016-11-08,16.9
2016-11-09,23.46
2016-11-10,16.5
2016-11-11,16.3
2016-11-14,15.45
2016-11-15,14.65
2016-11-16,13.85
