Trade Date,Feb16
2015-05-26,18.25
2015-05-27,18.75
2015-05-28,18.8
2015-05-29,19.0
2015-06-01,19.0
2015-06-02,19.0
2015-06-03,18.95
2015-06-04,19.3
2015-06-05,19.15
2015-06-08,19.35
2015-06-09,19.25
2015-06-10,19.1
2015-06-11,19.0
2015-06-12,18.95
2015-06-15,19.2
2015-06-16,19.3
2015-06-17,19.27
2015-06-18,19.15
2015-06-19,18.95
2015-06-22,18.8
2015-06-23,18.45
2015-06-24,18.45
2015-06-25,18.44
2015-06-26,18.45
2015-06-29,19.2
2015-06-30,19.2
2015-07-01,18.85
2015-07-02,18.79
2015-07-06,19.4
2015-07-07,19.22
2015-07-08,19.1
2015-07-09,19.35
2015-07-10,19.24
2015-07-13,18.96
2015-07-14,18.27
2015-07-15,18.35
2015-07-16,18.12
2015-07-17,17.88
2015-07-20,17.82
2015-07-21,17.9
2015-07-22,18.0
2015-07-23,18.15
2015-07-24,18.2
2015-07-27,18.45
2015-07-28,18.28
2015-07-29,17.92
2015-07-30,18.02
2015-07-31,17.98
2015-08-03,18.05
2015-08-04,17.82
2015-08-05,17.79
2015-08-06,18.13
2015-08-07,18.0
2015-08-10,17.69
2015-08-11,18.03
2015-08-12,18.47
2015-08-13,17.93
2015-08-14,17.82
2015-08-17,17.73
2015-08-18,17.87
2015-08-19,18.0
2015-08-20,18.5
2015-08-21,19.05
2015-08-24,21.5
2015-08-25,21.32
2015-08-26,21.33
2015-08-27,20.89
2015-08-28,21.82
2015-08-31,22.3
2015-09-01,24.4
2015-09-02,24.08
2015-09-03,23.63
2015-09-04,24.23
2015-09-08,23.85
2015-09-09,23.2
2015-09-10,23.65
2015-09-11,23.3
2015-09-14,23.15
2015-09-15,22.75
2015-09-16,21.29
2015-09-17,20.5
2015-09-18,21.4
2015-09-21,21.42
2015-09-22,21.8
2015-09-23,21.75
2015-09-24,22.02
2015-09-25,21.82
2015-09-28,22.68
2015-09-29,22.65
2015-09-30,22.48
2015-10-01,22.43
2015-10-02,22.32
2015-10-05,21.25
2015-10-06,20.67
2015-10-07,20.7
2015-10-08,20.3
2015-10-09,20.07
2015-10-12,19.8
2015-10-13,19.88
2015-10-14,20.36
2015-10-15,20.07
2015-10-16,19.43
2015-10-19,19.15
2015-10-20,18.9
2015-10-21,19.6
2015-10-22,19.55
2015-10-23,18.5
2015-10-26,18.94
2015-10-27,19.05
2015-10-28,18.95
2015-10-29,18.6
2015-10-30,18.75
2015-11-02,18.87
2015-11-03,18.3
2015-11-04,18.65
2015-11-05,18.74
2015-11-06,18.55
2015-11-09,18.68
2015-11-10,18.73
2015-11-11,18.5
2015-11-12,19.6
2015-11-13,20.48
2015-11-16,20.81
2015-11-17,19.65
2015-11-18,19.35
2015-11-19,19.38
2015-11-20,19.27
2015-11-23,19.12
2015-11-24,19.05
2015-11-25,19.05
2015-11-27,18.7
2015-11-30,18.84
2015-12-01,18.47
2015-12-02,18.43
2015-12-03,19.38
2015-12-04,19.0
2015-12-07,18.83
2015-12-08,19.02
2015-12-09,19.63
2015-12-10,19.5
2015-12-11,21.65
2015-12-14,22.09
2015-12-15,20.55
2015-12-16,19.37
2015-12-17,19.6
2015-12-18,20.6
2015-12-21,20.55
2015-12-22,19.6
2015-12-23,18.78
2015-12-24,18.85
2015-12-28,19.2
2015-12-29,18.4
2015-12-30,18.8
2015-12-31,19.0
2016-01-04,20.7
2016-01-05,20.2
2016-01-06,20.75
2016-01-07,21.86
2016-01-08,23.15
2016-01-11,24.25
2016-01-12,22.68
2016-01-13,23.38
2016-01-14,23.85
2016-01-15,25.15
2016-01-19,25.55
2016-01-20,27.15
2016-01-21,26.0
2016-01-22,25.2
2016-01-25,24.08
2016-01-26,24.85
2016-01-27,24.15
2016-01-28,24.08
2016-01-29,23.45
2016-02-01,22.45
2016-02-02,23.42
2016-02-03,24.75
2016-02-04,23.58
2016-02-05,24.65
2016-02-08,26.8
2016-02-09,27.08
2016-02-10,26.55
2016-02-11,29.45
2016-02-12,28.55
2016-02-16,26.6
2016-02-17,25.05
