Trade Date,M:04 Y:16
2015-07-27,
2015-07-28,
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-03,18.4
2015-08-04,18.25
2015-08-05,
2015-08-06,18.4
2015-08-07,18.55
2015-08-10,18.1
2015-08-11,18.35
2015-08-12,18.39
2015-08-13,18.34
2015-08-14,18.2
2015-08-17,18.25
2015-08-18,18.4
2015-08-19,18.55
2015-08-20,19.0
2015-08-21,19.45
2015-08-24,20.7
2015-08-25,20.9
2015-08-26,20.4
2015-08-27,20.62
2015-08-28,21.3
2015-08-31,22.2
2015-09-01,23.88
2015-09-02,23.05
2015-09-03,23.2
2015-09-04,23.8
2015-09-08,23.0
2015-09-09,23.05
2015-09-10,22.9
2015-09-11,22.75
2015-09-14,22.74
2015-09-15,21.4
2015-09-16,20.36
2015-09-17,20.77
2015-09-18,21.45
2015-09-21,20.8
2015-09-22,21.5
2015-09-23,21.2
2015-09-24,21.65
2015-09-25,21.92
2015-09-28,22.44
2015-09-29,22.6
2015-09-30,22.45
2015-10-01,22.05
2015-10-02,21.5
2015-10-05,20.7
2015-10-06,21.05
2015-10-07,20.45
2015-10-08,20.15
2015-10-09,20.25
2015-10-12,19.45
2015-10-13,20.22
2015-10-14,20.58
2015-10-15,19.55
2015-10-16,19.58
2015-10-19,18.87
2015-10-20,19.5
2015-10-21,20.19
2015-10-22,18.87
2015-10-23,19.15
2015-10-26,19.47
2015-10-27,19.15
2015-10-28,18.83
2015-10-29,19.01
2015-10-30,19.29
2015-11-02,18.72
2015-11-03,18.98
2015-11-04,19.2
2015-11-05,18.95
2015-11-06,18.75
2015-11-09,19.15
2015-11-10,18.95
2015-11-11,19.19
2015-11-12,20.07
2015-11-13,20.7
2015-11-16,19.5
2015-11-17,19.82
2015-11-18,19.4
2015-11-19,19.83
2015-11-20,19.6
2015-11-23,19.26
2015-11-24,19.65
2015-11-25,19.38
2015-11-27,19.47
2015-11-30,19.25
2015-12-01,18.75
2015-12-02,19.05
2015-12-03,19.65
2015-12-04,18.88
2015-12-07,18.95
2015-12-08,19.45
2015-12-09,19.77
2015-12-10,20.0
2015-12-11,21.56
2015-12-14,20.65
2015-12-15,19.7
2015-12-16,19.33
2015-12-17,20.05
2015-12-18,20.83
2015-12-21,19.88
2015-12-22,19.29
2015-12-23,19.3
2015-12-24,19.5
2015-12-28,18.95
2015-12-29,18.7
2015-12-30,19.25
2015-12-31,19.35
2016-01-04,19.75
2016-01-05,19.5
2016-01-06,19.85
2016-01-07,21.1
2016-01-08,22.08
2016-01-11,21.6
2016-01-12,20.83
2016-01-13,22.35
2016-01-14,21.77
2016-01-15,23.3
2016-01-19,23.13
2016-01-20,23.56
2016-01-21,23.7
2016-01-22,22.06
2016-01-25,22.88
2016-01-26,22.1
2016-01-27,22.68
2016-01-28,22.3
2016-01-29,21.38
2016-02-01,21.25
2016-02-02,22.24
2016-02-03,22.07
2016-02-04,22.36
2016-02-05,22.83
2016-02-08,23.53
2016-02-09,23.95
2016-02-10,24.07
2016-02-11,25.25
2016-02-12,24.88
2016-02-16,23.87
2016-02-17,23.09
2016-02-18,23.18
2016-02-19,22.77
2016-02-22,21.6
2016-02-23,22.5
2016-02-24,22.15
2016-02-25,21.42
2016-02-26,21.8
2016-02-29,22.17
2016-03-01,20.3
2016-03-02,20.25
2016-03-03,19.5
2016-03-04,20.0
2016-03-07,19.8
2016-03-08,20.65
2016-03-09,20.15
2016-03-10,19.92
2016-03-11,19.05
2016-03-14,18.8
2016-03-15,19.05
2016-03-16,18.25
2016-03-17,17.78
2016-03-18,17.75
2016-03-21,17.0
2016-03-22,16.85
2016-03-23,17.75
2016-03-24,17.4
2016-03-28,17.14
2016-03-29,16.05
2016-03-30,15.85
2016-03-31,15.92
2016-04-01,15.42
2016-04-04,15.95
2016-04-05,16.8
2016-04-06,15.65
2016-04-07,17.27
2016-04-08,16.7
2016-04-11,17.1
2016-04-12,15.95
2016-04-13,14.85
2016-04-14,14.7
2016-04-15,14.73
2016-04-18,13.83
2016-04-19,13.25
2016-04-20,12.66
