Trade Date,May15
2014-08-25,17.0
2014-08-26,17.7
2014-08-27,17.9
2014-08-28,18.16
2014-08-29,17.97
2014-09-02,17.94
2014-09-03,17.85
2014-09-04,17.85
2014-09-05,17.85
2014-09-08,17.7
2014-09-09,17.75
2014-09-10,17.86
2014-09-11,17.85
2014-09-12,17.95
2014-09-15,18.1
2014-09-16,18.2
2014-09-17,17.81
2014-09-18,17.77
2014-09-19,17.85
2014-09-22,17.96
2014-09-23,18.25
2014-09-24,18.25
2014-09-25,18.47
2014-09-26,18.43
2014-09-29,18.7
2014-09-30,18.83
2014-10-01,19.19
2014-10-02,19.27
2014-10-03,19.05
2014-10-06,18.62
2014-10-07,19.15
2014-10-08,19.21
2014-10-09,19.0
2014-10-10,19.9
2014-10-13,20.72
2014-10-14,20.84
2014-10-15,21.43
2014-10-16,21.9
2014-10-17,20.6
2014-10-20,20.16
2014-10-21,19.95
2014-10-22,19.71
2014-10-23,19.51
2014-10-24,19.56
2014-10-27,19.35
2014-10-28,18.71
2014-10-29,18.55
2014-10-30,18.6
2014-10-31,18.45
2014-11-03,18.68
2014-11-04,18.92
2014-11-05,18.63
2014-11-06,18.58
2014-11-07,18.3
2014-11-10,18.21
2014-11-11,17.9
2014-11-12,17.9
2014-11-13,18.4
2014-11-14,18.15
2014-11-17,18.15
2014-11-18,18.0
2014-11-19,18.2
2014-11-20,18.36
2014-11-21,18.15
2014-11-24,18.1
2014-11-25,18.25
2014-11-26,18.23
2014-11-28,18.2
2014-12-01,18.54
2014-12-02,18.53
2014-12-03,17.93
2014-12-04,18.11
2014-12-05,17.85
2014-12-08,18.2
2014-12-09,18.6
2014-12-10,19.01
2014-12-11,19.85
2014-12-12,20.3
2014-12-15,20.2
2014-12-16,20.48
2014-12-17,20.47
2014-12-18,18.95
2014-12-19,18.54
2014-12-22,18.25
2014-12-23,18.3
2014-12-24,18.3
2014-12-26,18.25
2014-12-29,18.25
2014-12-30,18.45
2014-12-31,19.14
2015-01-02,19.41
2015-01-05,19.94
2015-01-06,20.33
2015-01-07,19.93
2015-01-08,19.33
2015-01-09,19.26
2015-01-12,19.88
2015-01-13,20.1
2015-01-14,20.36
2015-01-15,20.35
2015-01-16,20.75
2015-01-20,20.6
2015-01-21,20.54
2015-01-22,19.73
2015-01-23,19.22
2015-01-26,19.58
2015-01-27,19.32
2015-01-28,20.45
2015-01-29,20.41
2015-01-30,20.65
2015-02-02,20.79
2015-02-03,20.13
2015-02-04,20.17
2015-02-05,20.3
2015-02-06,20.43
2015-02-09,20.53
2015-02-10,20.4
2015-02-11,20.14
2015-02-12,19.9
2015-02-13,19.22
2015-02-17,19.19
2015-02-18,19.2
2015-02-19,19.22
2015-02-20,19.24
2015-02-23,18.66
2015-02-24,18.6
2015-02-25,18.2
2015-02-26,18.29
2015-02-27,18.02
2015-03-02,17.92
2015-03-03,17.93
2015-03-04,18.1
2015-03-05,17.8
2015-03-06,18.15
2015-03-09,18.03
2015-03-10,18.6
2015-03-11,18.82
2015-03-12,18.75
2015-03-13,18.7
2015-03-16,18.35
2015-03-17,18.3
2015-03-18,18.25
2015-03-19,17.95
2015-03-20,18.05
2015-03-23,17.75
2015-03-24,17.62
2015-03-25,18.23
2015-03-26,18.7
2015-03-27,18.05
2015-03-30,17.83
2015-03-31,17.85
2015-04-01,18.4
2015-04-02,17.9
2015-04-03,17.97
2015-04-06,17.95
2015-04-07,17.25
2015-04-08,17.15
2015-04-09,16.89
2015-04-10,16.27
2015-04-13,16.1
2015-04-14,16.25
2015-04-15,15.8
2015-04-16,15.74
2015-04-17,16.24
2015-04-20,15.75
2015-04-21,15.35
2015-04-22,15.47
2015-04-23,15.25
2015-04-24,14.85
2015-04-27,15.25
2015-04-28,15.75
2015-04-29,15.3
2015-04-30,15.85
2015-05-01,15.55
2015-05-04,14.8
2015-05-05,15.27
2015-05-06,16.28
2015-05-07,16.2
2015-05-08,15.5
2015-05-11,14.95
2015-05-12,15.53
2015-05-13,14.77
2015-05-14,14.45
2015-05-15,14.05
2015-05-18,13.9
2015-05-19,13.33
2015-05-20,13.3
