Trade Date,Aug17
2016-11-21,0.0
2016-11-22,20.1
2016-11-23,20.05
2016-11-25,20.0
2016-11-28,20.05
2016-11-29,19.95
2016-11-30,19.94
2016-12-01,20.15
2016-12-02,20.15
2016-12-05,20.0
2016-12-06,19.83
2016-12-07,19.76
2016-12-08,19.89
2016-12-09,19.85
2016-12-12,19.85
2016-12-13,19.9
2016-12-14,19.85
2016-12-15,19.7
2016-12-16,19.75
2016-12-19,19.61
2016-12-20,19.53
2016-12-21,19.46
2016-12-22,19.59
2016-12-23,19.7
2016-12-27,19.5
2016-12-28,19.65
2016-12-29,19.75
2016-12-30,19.87
2017-01-03,19.71
2017-01-04,19.28
2017-01-05,19.15
2017-01-06,18.96
2017-01-09,18.85
2017-01-10,18.9
2017-01-11,18.95
2017-01-12,19.0
2017-01-13,19.0
2017-01-17,19.2
2017-01-18,19.13
2017-01-19,19.2
2017-01-20,18.93
2017-01-23,18.9
2017-01-24,18.65
2017-01-25,18.14
2017-01-26,18.0
2017-01-27,18.1
2017-01-30,18.39
2017-01-31,18.2
2017-02-01,17.97
2017-02-02,17.91
2017-02-03,17.9
2017-02-06,17.75
2017-02-07,17.79
2017-02-08,17.95
2017-02-09,17.9
2017-02-10,17.7
2017-02-13,17.67
2017-02-14,17.41
2017-02-15,17.07
2017-02-16,17.15
2017-02-17,17.03
2017-02-21,17.03
2017-02-22,17.2
2017-02-23,17.45
2017-02-24,17.85
2017-02-27,17.55
2017-02-28,17.43
2017-03-01,17.25
2017-03-02,17.37
2017-03-03,17.35
2017-03-06,17.1
2017-03-07,16.95
2017-03-08,17.05
2017-03-09,17.04
2017-03-10,16.93
2017-03-13,16.81
2017-03-14,16.89
2017-03-15,16.85
2017-03-16,16.61
2017-03-17,16.4
2017-03-20,16.35
2017-03-21,16.52
2017-03-22,16.66
2017-03-23,16.74
2017-03-24,16.8
2017-03-27,16.72
2017-03-28,16.05
2017-03-29,15.71
2017-03-30,15.6
2017-03-31,15.62
2017-04-03,15.65
2017-04-04,15.68
2017-04-05,15.75
2017-04-06,15.78
2017-04-07,15.63
2017-04-10,15.85
2017-04-11,16.2
2017-04-12,16.1
2017-04-13,16.12
2017-04-17,16.12
2017-04-18,15.73
2017-04-19,15.7
2017-04-20,15.5
2017-04-21,15.52
2017-04-24,15.1
2017-04-25,14.71
2017-04-26,14.6
2017-04-27,14.65
2017-04-28,14.7
2017-05-01,14.54
2017-05-02,14.25
2017-05-03,14.38
2017-05-04,14.43
2017-05-05,14.3
2017-05-08,14.4
2017-05-09,14.4
2017-05-10,14.45
2017-05-11,14.72
2017-05-12,14.48
2017-05-15,14.43
2017-05-16,14.3
2017-05-17,15.25
2017-05-18,15.3
2017-05-19,15.04
2017-05-22,14.3
2017-05-23,14.2
2017-05-24,14.23
2017-05-25,14.02
2017-05-26,14.03
2017-05-30,13.88
2017-05-31,13.79
2017-06-01,13.55
2017-06-02,13.5
2017-06-05,13.5
2017-06-06,13.7
2017-06-07,13.82
2017-06-08,13.55
2017-06-09,13.79
2017-06-12,13.8
2017-06-13,13.5
2017-06-14,13.25
2017-06-15,13.5
2017-06-16,13.2
2017-06-19,12.99
2017-06-20,12.95
2017-06-21,12.93
2017-06-22,12.88
2017-06-23,12.85
2017-06-26,12.7
2017-06-27,12.75
2017-06-28,12.84
2017-06-29,13.75
2017-06-30,13.0
2017-07-03,13.0
2017-07-05,13.1
2017-07-06,13.55
2017-07-07,13.45
2017-07-10,13.1
2017-07-11,13.2
2017-07-12,12.75
2017-07-13,12.45
2017-07-14,12.45
2017-07-17,12.05
2017-07-18,12.13
2017-07-19,11.8
2017-07-20,11.75
2017-07-21,11.65
2017-07-24,11.5
2017-07-25,11.35
2017-07-26,11.3
2017-07-27,12.1
2017-07-28,11.95
2017-07-31,11.63
2017-08-01,11.42
2017-08-02,11.6
2017-08-03,11.5
2017-08-04,11.5
2017-08-07,11.3
2017-08-08,11.87
2017-08-09,12.61
2017-08-10,15.6
2017-08-11,16.55
2017-08-14,15.1
2017-08-15,12.6
2017-08-16,12.56
