Trade Date,Aug18
2017-11-20,17.4
2017-11-21,17.55
2017-11-22,17.15
2017-11-24,17.15
2017-11-27,17.06
2017-11-28,17.15
2017-11-29,17.15
2017-11-30,17.13
2017-12-01,17.51
2017-12-04,16.95
2017-12-05,16.95
2017-12-06,16.95
2017-12-07,16.79
2017-12-08,16.63
2017-12-11,16.65
2017-12-12,16.55
2017-12-13,16.57
2017-12-14,16.55
2017-12-15,16.45
2017-12-18,16.2
2017-12-19,16.21
2017-12-20,16.25
2017-12-21,16.2
2017-12-22,16.13
2017-12-26,16.07
2017-12-27,15.97
2017-12-28,15.89
2017-12-29,15.9
2018-01-02,15.8
2018-01-03,15.55
2018-01-04,15.44
2018-01-05,15.45
2018-01-08,15.25
2018-01-09,15.25
2018-01-10,15.28
2018-01-11,15.07
2018-01-12,14.96
2018-01-16,15.45
2018-01-17,15.37
2018-01-18,15.44
2018-01-19,15.28
2018-01-22,15.29
2018-01-23,15.24
2018-01-24,15.5
2018-01-25,15.4
2018-01-26,15.37
2018-01-29,15.65
2018-01-30,15.99
2018-01-31,15.77
2018-02-01,15.67
2018-02-02,16.0
2018-02-05,23.0
2018-02-06,20.25
2018-02-07,18.47
2018-02-08,19.25
2018-02-09,19.72
2018-02-12,18.2
2018-02-13,18.5
2018-02-14,18.6
2018-02-15,17.85
2018-02-16,17.49
2018-02-20,17.85
2018-02-21,17.92
2018-02-22,18.05
2018-02-23,17.5
2018-02-26,16.92
2018-02-27,17.4
2018-02-28,17.66
2018-03-01,18.45
2018-03-02,18.77
2018-03-05,18.42
2018-03-06,18.02
2018-03-07,18.45
2018-03-08,18.0
2018-03-09,17.84
2018-03-12,17.4
2018-03-13,17.68
2018-03-14,17.9
2018-03-15,17.9
2018-03-16,17.55
2018-03-19,18.07
2018-03-20,17.95
2018-03-21,17.8
2018-03-22,18.33
2018-03-23,18.85
2018-03-26,18.78
2018-03-27,19.21
2018-03-28,19.6
2018-03-29,19.43
2018-04-02,19.8
2018-04-03,19.52
2018-04-04,19.85
2018-04-05,19.02
2018-04-06,19.75
2018-04-09,19.4
2018-04-10,19.51
2018-04-11,19.48
2018-04-12,19.4
2018-04-13,19.0
2018-04-16,18.45
2018-04-17,18.15
2018-04-18,17.94
2018-04-19,17.66
2018-04-20,17.67
2018-04-23,17.7
2018-04-24,18.32
2018-04-25,18.08
2018-04-26,17.86
2018-04-27,17.67
2018-04-30,17.5
2018-05-01,17.52
2018-05-02,17.31
2018-05-03,17.8
2018-05-04,17.42
2018-05-07,17.03
2018-05-08,17.1
2018-05-09,16.98
2018-05-10,16.6
2018-05-11,16.07
2018-05-14,15.8
2018-05-15,16.11
2018-05-16,16.13
2018-05-17,15.86
2018-05-18,15.8
2018-05-21,15.58
2018-05-22,15.48
2018-05-23,15.85
2018-05-24,15.65
2018-05-25,15.35
2018-05-29,16.3
2018-05-30,16.25
2018-05-31,16.36
2018-06-01,16.18
2018-06-04,15.65
2018-06-05,15.25
2018-06-06,15.0
2018-06-07,15.1
2018-06-08,15.3
2018-06-11,15.0
2018-06-12,14.9
2018-06-13,14.85
2018-06-14,14.92
2018-06-15,14.71
2018-06-18,14.83
2018-06-19,15.3
2018-06-20,14.92
2018-06-21,15.45
2018-06-22,15.42
2018-06-25,17.0
2018-06-26,16.48
2018-06-27,17.05
2018-06-28,17.55
2018-06-29,16.61
2018-07-02,17.18
2018-07-03,16.75
2018-07-05,16.75
2018-07-06,16.35
2018-07-09,15.47
2018-07-10,14.8
2018-07-11,15.4
2018-07-12,14.87
2018-07-13,14.65
2018-07-16,14.45
2018-07-17,14.55
2018-07-18,14.25
2018-07-19,14.4
2018-07-20,14.77
2018-07-23,14.65
2018-07-24,14.5
2018-07-25,14.31
2018-07-26,14.15
2018-07-27,14.81
2018-07-30,15.0
2018-07-31,14.9
2018-08-01,14.45
2018-08-02,15.15
2018-08-03,14.0
2018-08-06,13.7
2018-08-07,13.15
2018-08-08,12.95
2018-08-09,12.78
2018-08-10,14.12
2018-08-13,14.95
2018-08-14,14.9
2018-08-15,16.6
2018-08-16,14.95
2018-08-17,14.2
2018-08-20,13.15
2018-08-21,13.1
2018-08-22,13.45
