Trade Date,May19
2018-08-27,16.85
2018-08-28,17.05
2018-08-29,17.05
2018-08-30,17.3
2018-08-31,17.15
2018-09-04,17.25
2018-09-05,17.27
2018-09-06,17.4
2018-09-07,17.5
2018-09-10,17.4
2018-09-11,17.41
2018-09-12,17.06
2018-09-13,16.95
2018-09-14,16.85
2018-09-17,16.85
2018-09-18,16.9
2018-09-19,16.8
2018-09-20,16.72
2018-09-21,16.85
2018-09-24,16.92
2018-09-25,16.82
2018-09-26,16.98
2018-09-27,16.87
2018-09-28,16.85
2018-10-01,16.75
2018-10-02,16.79
2018-10-03,16.8
2018-10-04,17.15
2018-10-05,17.38
2018-10-08,17.7
2018-10-09,17.5
2018-10-10,18.57
2018-10-11,19.35
2018-10-12,19.07
2018-10-15,18.74
2018-10-16,18.74
2018-10-17,18.73
2018-10-18,18.63
2018-10-19,18.67
2018-10-22,18.67
2018-10-23,19.2
2018-10-24,19.45
2018-10-25,19.37
2018-10-26,19.93
2018-10-29,20.2
2018-10-30,19.95
2018-10-31,19.6
2018-11-01,19.45
2018-11-02,19.4
2018-11-05,19.18
2018-11-06,19.0
2018-11-07,18.55
2018-11-08,18.0
2018-11-09,18.28
2018-11-12,18.77
2018-11-13,19.06
2018-11-14,19.32
2018-11-15,19.57
2018-11-16,19.31
2018-11-19,19.35
2018-11-20,20.01
2018-11-21,20.08
2018-11-23,20.0
2018-11-26,19.9
2018-11-27,19.57
2018-11-28,19.23
2018-11-29,19.25
2018-11-30,19.07
2018-12-03,18.28
2018-12-04,19.05
2018-12-05,18.91
2018-12-06,20.07
2018-12-07,19.9
2018-12-10,20.3
2018-12-11,20.07
2018-12-12,19.84
2018-12-13,19.96
2018-12-14,20.19
2018-12-17,20.66
2018-12-18,20.88
2018-12-19,21.0
2018-12-20,21.41
2018-12-21,21.22
2018-12-24,21.5
2018-12-26,21.25
2018-12-27,21.75
2018-12-28,21.4
2018-12-31,20.98
2019-01-02,21.2
2019-01-03,21.35
2019-01-04,21.3
2019-01-07,20.45
2019-01-08,20.4
2019-01-09,20.0
2019-01-10,20.11
2019-01-11,20.0
2019-01-14,19.89
2019-01-15,19.5
2019-01-16,19.15
2019-01-17,19.17
2019-01-18,18.97
2019-01-22,19.35
2019-01-23,19.7
2019-01-24,19.36
2019-01-25,18.95
2019-01-28,19.12
2019-01-29,19.06
2019-01-30,18.89
2019-01-31,18.55
2019-02-01,18.28
2019-02-04,18.45
2019-02-05,17.8
2019-02-06,17.46
2019-02-07,18.0
2019-02-08,17.91
2019-02-11,17.59
2019-02-12,17.45
2019-02-13,17.35
2019-02-14,17.46
2019-02-15,17.65
2019-02-19,17.18
2019-02-20,17.05
2019-02-21,16.95
2019-02-22,16.83
2019-02-25,16.57
2019-02-26,16.75
2019-02-27,17.0
2019-02-28,16.78
2019-03-01,16.73
2019-03-04,16.73
2019-03-05,16.65
2019-03-06,16.85
2019-03-07,17.45
2019-03-08,17.77
2019-03-11,17.4
2019-03-12,16.45
2019-03-13,16.38
2019-03-14,16.11
2019-03-15,15.95
2019-03-18,15.85
2019-03-19,16.05
2019-03-20,16.25
2019-03-21,16.35
2019-03-22,17.2
2019-03-25,17.55
2019-03-26,17.18
2019-03-27,17.31
2019-03-28,17.22
2019-03-29,16.75
2019-04-01,16.3
2019-04-02,16.2
2019-04-03,16.25
2019-04-04,16.2
2019-04-05,15.98
2019-04-08,15.9
2019-04-09,16.25
2019-04-10,16.27
2019-04-11,15.9
2019-04-12,15.55
2019-04-15,15.22
2019-04-16,14.8
2019-04-17,14.92
2019-04-18,15.1
2019-04-22,14.75
2019-04-23,14.4
2019-04-24,14.65
2019-04-25,15.35
2019-04-26,15.0
2019-04-29,14.6
2019-04-30,14.98
2019-05-01,15.47
2019-05-02,15.91
2019-05-03,15.15
2019-05-06,16.8
2019-05-07,19.2
2019-05-08,18.95
2019-05-09,20.5
2019-05-10,18.95
2019-05-13,19.8
2019-05-14,19.73
2019-05-15,18.92
2019-05-16,17.45
2019-05-17,16.72
2019-05-20,17.12
2019-05-21,16.05
2019-05-22,15.25
