Trade Date,Mar19
2018-06-25,17.8
2018-06-26,17.6
2018-06-27,18.1
2018-06-28,18.25
2018-06-29,17.79
2018-07-02,18.2
2018-07-03,18.1
2018-07-05,17.9
2018-07-06,17.85
2018-07-09,17.3
2018-07-10,16.95
2018-07-11,17.16
2018-07-12,17.07
2018-07-13,16.9
2018-07-16,16.97
2018-07-17,16.97
2018-07-18,17.05
2018-07-19,17.1
2018-07-20,17.25
2018-07-23,17.31
2018-07-24,17.23
2018-07-25,17.15
2018-07-26,17.12
2018-07-27,17.22
2018-07-30,17.31
2018-07-31,17.2
2018-08-01,17.17
2018-08-02,17.4
2018-08-03,17.0
2018-08-06,16.91
2018-08-07,16.7
2018-08-08,16.52
2018-08-09,16.55
2018-08-10,16.9
2018-08-13,17.17
2018-08-14,17.16
2018-08-15,17.49
2018-08-16,16.96
2018-08-17,16.89
2018-08-20,16.6
2018-08-21,16.76
2018-08-22,16.86
2018-08-23,16.7
2018-08-24,16.65
2018-08-27,16.63
2018-08-28,16.73
2018-08-29,16.75
2018-08-30,17.01
2018-08-31,17.03
2018-09-04,17.01
2018-09-05,17.0
2018-09-06,17.17
2018-09-07,17.27
2018-09-10,17.22
2018-09-11,17.15
2018-09-12,16.75
2018-09-13,16.6
2018-09-14,16.47
2018-09-17,16.5
2018-09-18,16.62
2018-09-19,16.52
2018-09-20,16.41
2018-09-21,16.43
2018-09-24,16.55
2018-09-25,16.45
2018-09-26,16.56
2018-09-27,16.5
2018-09-28,16.55
2018-10-01,16.37
2018-10-02,16.36
2018-10-03,16.38
2018-10-04,16.83
2018-10-05,17.05
2018-10-08,17.38
2018-10-09,17.16
2018-10-10,18.26
2018-10-11,19.25
2018-10-12,18.95
2018-10-15,18.63
2018-10-16,18.61
2018-10-17,18.51
2018-10-18,18.61
2018-10-19,18.7
2018-10-22,18.73
2018-10-23,19.37
2018-10-24,19.72
2018-10-25,19.6
2018-10-26,20.27
2018-10-29,20.61
2018-10-30,20.28
2018-10-31,19.92
2018-11-01,19.71
2018-11-02,19.61
2018-11-05,19.4
2018-11-06,19.17
2018-11-07,18.72
2018-11-08,18.0
2018-11-09,18.33
2018-11-12,19.0
2018-11-13,19.35
2018-11-14,19.65
2018-11-15,20.01
2018-11-16,19.67
2018-11-19,19.7
2018-11-20,20.45
2018-11-21,20.45
2018-11-23,20.35
2018-11-26,20.25
2018-11-27,19.82
2018-11-28,19.4
2018-11-29,19.4
2018-11-30,19.22
2018-12-03,18.55
2018-12-04,19.25
2018-12-05,19.21
2018-12-06,20.55
2018-12-07,20.38
2018-12-10,20.91
2018-12-11,20.62
2018-12-12,20.28
2018-12-13,20.37
2018-12-14,20.67
2018-12-17,21.4
2018-12-18,21.62
2018-12-19,21.76
2018-12-20,22.42
2018-12-21,22.3
2018-12-24,22.6
2018-12-26,22.51
2018-12-27,23.02
2018-12-28,22.65
2018-12-31,22.04
2019-01-02,22.4
2019-01-03,22.35
2019-01-04,22.25
2019-01-07,21.16
2019-01-08,21.02
2019-01-09,20.52
2019-01-10,20.6
2019-01-11,20.35
2019-01-14,20.25
2019-01-15,19.7
2019-01-16,19.2
2019-01-17,19.27
2019-01-18,18.92
2019-01-22,19.82
2019-01-23,20.45
2019-01-24,19.8
2019-01-25,19.25
2019-01-28,19.5
2019-01-29,19.37
2019-01-30,19.1
2019-01-31,18.46
2019-02-01,18.05
2019-02-04,17.62
2019-02-05,17.2
2019-02-06,17.08
2019-02-07,17.95
2019-02-08,17.88
2019-02-11,17.4
2019-02-12,17.05
2019-02-13,16.85
2019-02-14,17.35
2019-02-15,17.45
2019-02-19,16.75
2019-02-20,16.56
2019-02-21,16.17
2019-02-22,16.0
2019-02-25,15.65
2019-02-26,15.98
2019-02-27,16.4
2019-02-28,16.0
2019-03-01,15.7
2019-03-04,16.46
2019-03-05,15.8
2019-03-06,16.22
2019-03-07,17.3
2019-03-08,17.9
2019-03-11,16.96
2019-03-12,15.25
2019-03-13,14.85
2019-03-14,14.31
2019-03-15,13.95
2019-03-18,13.85
2019-03-19,13.05
