Trade Date,Aug15
2014-11-24,0.0
2014-11-25,18.95
2014-11-26,18.91
2014-11-28,18.95
2014-12-01,19.27
2014-12-02,19.35
2014-12-03,18.7
2014-12-04,18.86
2014-12-05,18.6
2014-12-08,18.98
2014-12-09,19.33
2014-12-10,19.71
2014-12-11,20.42
2014-12-12,20.7
2014-12-15,20.55
2014-12-16,20.95
2014-12-17,20.9
2014-12-18,19.72
2014-12-19,19.2
2014-12-22,18.95
2014-12-23,19.0
2014-12-24,19.05
2014-12-26,19.1
2014-12-29,19.05
2014-12-30,19.25
2014-12-31,19.8
2015-01-02,20.05
2015-01-05,20.5
2015-01-06,20.75
2015-01-07,20.4
2015-01-08,19.95
2015-01-09,19.9
2015-01-12,20.25
2015-01-13,20.45
2015-01-14,20.6
2015-01-15,20.6
2015-01-16,20.85
2015-01-20,20.75
2015-01-21,20.7
2015-01-22,20.1
2015-01-23,19.8
2015-01-26,20.12
2015-01-27,19.9
2015-01-28,20.91
2015-01-29,20.85
2015-01-30,20.95
2015-02-02,21.0
2015-02-03,20.5
2015-02-04,20.6
2015-02-05,20.65
2015-02-06,20.7
2015-02-09,20.78
2015-02-10,20.64
2015-02-11,20.5
2015-02-12,20.29
2015-02-13,19.88
2015-02-17,19.9
2015-02-18,19.84
2015-02-19,19.87
2015-02-20,19.95
2015-02-23,19.6
2015-02-24,19.52
2015-02-25,19.05
2015-02-26,19.1
2015-02-27,18.85
2015-03-02,18.75
2015-03-03,18.75
2015-03-04,18.81
2015-03-05,18.57
2015-03-06,18.79
2015-03-09,18.6
2015-03-10,19.14
2015-03-11,19.32
2015-03-12,19.25
2015-03-13,19.22
2015-03-16,19.05
2015-03-17,18.95
2015-03-18,19.0
2015-03-19,18.8
2015-03-20,18.75
2015-03-23,18.7
2015-03-24,18.65
2015-03-25,19.05
2015-03-26,19.4
2015-03-27,18.92
2015-03-30,18.8
2015-03-31,18.95
2015-04-01,19.26
2015-04-02,19.05
2015-04-03,19.25
2015-04-06,19.2
2015-04-07,18.65
2015-04-08,18.54
2015-04-09,18.62
2015-04-10,18.24
2015-04-13,17.96
2015-04-14,18.13
2015-04-15,18.02
2015-04-16,18.07
2015-04-17,18.39
2015-04-20,18.0
2015-04-21,17.85
2015-04-22,17.89
2015-04-23,17.8
2015-04-24,17.6
2015-04-27,17.75
2015-04-28,18.03
2015-04-29,17.7
2015-04-30,18.1
2015-05-01,17.8
2015-05-04,17.48
2015-05-05,17.66
2015-05-06,18.08
2015-05-07,18.05
2015-05-08,17.6
2015-05-11,17.61
2015-05-12,17.95
2015-05-13,17.48
2015-05-14,17.3
2015-05-15,17.21
2015-05-18,17.08
2015-05-19,16.7
2015-05-20,16.6
2015-05-21,16.62
2015-05-22,16.4
2015-05-26,16.75
2015-05-27,16.6
2015-05-28,16.54
2015-05-29,16.63
2015-06-01,16.53
2015-06-02,16.65
2015-06-03,16.61
2015-06-04,16.83
2015-06-05,16.9
2015-06-08,16.94
2015-06-09,17.0
2015-06-10,16.74
2015-06-11,16.2
2015-06-12,16.31
2015-06-15,16.62
2015-06-16,16.75
2015-06-17,16.65
2015-06-18,16.51
2015-06-19,16.35
2015-06-22,16.25
2015-06-23,15.58
2015-06-24,15.65
2015-06-25,15.65
2015-06-26,15.68
2015-06-29,17.53
2015-06-30,17.9
2015-07-01,17.35
2015-07-02,17.3
2015-07-06,19.05
2015-07-07,18.36
2015-07-08,18.25
2015-07-09,18.7
2015-07-10,18.77
2015-07-13,17.95
2015-07-14,15.8
2015-07-15,15.9
2015-07-16,15.42
2015-07-17,14.65
2015-07-20,14.56
2015-07-21,14.55
2015-07-22,14.85
2015-07-23,14.65
2015-07-24,15.15
2015-07-27,16.15
2015-07-28,15.8
2015-07-29,14.51
2015-07-30,14.6
2015-07-31,14.26
2015-08-03,14.51
2015-08-04,14.35
2015-08-05,14.2
2015-08-06,14.84
2015-08-07,14.93
2015-08-10,14.35
2015-08-11,14.85
2015-08-12,16.05
2015-08-13,14.78
2015-08-14,14.67
2015-08-17,14.74
2015-08-18,14.42
2015-08-19,14.65
