Trade Date,M:07 Y:19
2018-10-22,
2018-10-23,18.8
2018-10-24,
2018-10-25,19.3
2018-10-26,19.82
2018-10-29,19.75
2018-10-30,19.71
2018-10-31,19.24
2018-11-01,
2018-11-02,19.1
2018-11-05,19.03
2018-11-06,18.61
2018-11-07,18.22
2018-11-08,18.25
2018-11-09,18.51
2018-11-12,18.94
2018-11-13,19.0
2018-11-14,19.21
2018-11-15,19.36
2018-11-16,18.91
2018-11-19,19.27
2018-11-20,19.93
2018-11-21,19.9
2018-11-23,20.05
2018-11-26,19.42
2018-11-27,19.3
2018-11-28,19.0
2018-11-29,19.14
2018-11-30,18.8
2018-12-03,18.35
2018-12-04,19.13
2018-12-05,19.08
2018-12-06,19.2
2018-12-07,19.82
2018-12-10,19.76
2018-12-11,19.99
2018-12-12,19.92
2018-12-13,19.9
2018-12-14,20.12
2018-12-17,20.52
2018-12-18,20.85
2018-12-19,20.97
2018-12-20,20.97
2018-12-21,21.15
2018-12-24,21.25
2018-12-26,20.8
2018-12-27,21.07
2018-12-28,20.95
2018-12-31,20.64
2019-01-02,20.8
2019-01-03,21.07
2019-01-04,20.28
2019-01-07,20.12
2019-01-08,19.94
2019-01-09,19.86
2019-01-10,19.82
2019-01-11,19.62
2019-01-14,19.54
2019-01-15,19.19
2019-01-16,19.15
2019-01-17,19.06
2019-01-18,18.85
2019-01-22,19.25
2019-01-23,19.31
2019-01-24,19.05
2019-01-25,18.65
2019-01-28,19.07
2019-01-29,18.77
2019-01-30,18.65
2019-01-31,18.35
2019-02-01,18.16
2019-02-04,17.9
2019-02-05,17.7
2019-02-06,17.55
2019-02-07,17.85
2019-02-08,17.72
2019-02-11,17.76
2019-02-12,17.69
2019-02-13,17.46
2019-02-14,17.67
2019-02-15,17.35
2019-02-19,17.32
2019-02-20,17.12
2019-02-21,17.15
2019-02-22,16.78
2019-02-25,16.8
2019-02-26,17.0
2019-02-27,16.85
2019-02-28,16.88
2019-03-01,16.62
2019-03-04,16.75
2019-03-05,16.82
2019-03-06,17.11
2019-03-07,17.42
2019-03-08,17.52
2019-03-11,16.86
2019-03-12,16.77
2019-03-13,16.55
2019-03-14,16.58
2019-03-15,16.35
2019-03-18,16.5
2019-03-19,16.55
2019-03-20,16.85
2019-03-21,16.5
2019-03-22,17.27
2019-03-25,17.41
2019-03-26,17.1
2019-03-27,17.48
2019-03-28,17.26
2019-03-29,16.94
2019-04-01,16.66
2019-04-02,16.75
2019-04-03,16.65
2019-04-04,16.63
2019-04-05,16.45
2019-04-08,16.25
2019-04-09,16.85
2019-04-10,16.6
2019-04-11,16.37
2019-04-12,16.2
2019-04-15,16.12
2019-04-16,16.25
2019-04-17,16.2
2019-04-18,16.22
2019-04-22,16.05
2019-04-23,16.01
2019-04-24,16.16
2019-04-25,16.5
2019-04-26,16.21
2019-04-29,16.24
2019-04-30,16.24
2019-05-01,16.85
2019-05-02,16.7
2019-05-03,16.22
2019-05-06,16.97
2019-05-07,17.85
2019-05-08,17.87
2019-05-09,17.85
2019-05-10,17.1
2019-05-13,18.65
2019-05-14,17.87
2019-05-15,17.47
2019-05-16,17.02
2019-05-17,17.18
2019-05-20,17.3
2019-05-21,16.75
2019-05-22,16.82
2019-05-23,17.65
2019-05-24,17.41
2019-05-28,17.72
2019-05-29,18.05
2019-05-30,17.77
2019-05-31,18.4
2019-06-03,18.3
2019-06-04,17.62
2019-06-05,17.25
2019-06-06,17.2
2019-06-07,17.23
2019-06-10,17.05
2019-06-11,17.15
2019-06-12,17.02
2019-06-13,16.98
2019-06-14,16.8
2019-06-17,16.62
2019-06-18,16.6
2019-06-19,15.9
2019-06-20,16.1
2019-06-21,16.55
2019-06-24,16.29
2019-06-25,16.69
2019-06-26,16.55
2019-06-27,16.1
2019-06-28,15.7
2019-07-01,14.93
2019-07-02,14.25
2019-07-03,14.0
2019-07-05,14.35
2019-07-08,14.85
2019-07-09,14.9
2019-07-10,14.1
2019-07-11,13.7
2019-07-12,13.12
2019-07-15,12.91
2019-07-16,12.9
2019-07-17,12.38
